title,journal,authors
Reliability of reviewers' ratings when using public peer review: a case study,Learned Publishing,Lutz Bornmann; H-D Daniel
Universal Sentence Encoder for English,Association for Computational Linguistics,Daniel Cer; Yinfei Yang; Sheng-Yi Kong; Nan Hua; Nicole Limtiaco; Rhomni St. John; Noah Constant; Mario Guajardo-Cespedes; Steve Yuan; Chris Tar; Brian Strope; Ray Kurzweil
The toronto paper matching system: an automated paperreviewer assignment system,,Laurent Charlin; Richard Zemel
Investigating domain features for scope detection and classification of scientific articles,,Tirthankar Ghosal; Ravi Sonam; Sriparna Saha; Asif Ekbal; Pushpak Bhattacharyya
Investigating Impact Features in Editorial Pre-Screening of Research Papers,ACM Press,Tirthankar Ghosal; Rajeev Verma; Asif Ekbal; Sriparna Saha; Pushpak Bhattacharyya
ACM/IEEE on Joint Conference on Digital Libraries,,
VADER: A parsimonious rule-based model for sentiment analysis of social media text,,J Clayton; Eric Hutto;  Gilbert
"A Dataset of Peer Reviews (PeerRead): Collection, Insights and NLP Applications",Association for Computational Linguistics,Dongyeop Kang; Waleed Ammar; Bhavana Dalvi; Madeleine Zuylen; Sebastian Kohlmeier; Eduard H Hovy; Roy Schwartz
"The arbitrariness of reviews, and advice for school administrators",Communications of the ACM,John Langford; Mark Guzdial
Artificial intelligence in peer review: How can evolutionary computation support journal editors?,PloS one,J Maciej; Piotr Mrowinski; Agata Fronczak;  Fronczak
Computational support for academic peer review: a perspective from artificial intelligence,Commun. ACM,Simon Price; Peter A Flach
Peer review: a flawed process at the heart of science and journals,Journal of the Royal Society of Medicine,Richard Smith
Sentiment Analysis of Peer Review Texts for Scholarly Papers,ACM Press,Ke Wang; Xiaojun Wan
